Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,OG,Matches
72,Ante Budimir\Ante-Budimir,hr CRO,FW,Mallorca,28,1991,29.7,45,1.57,25,2,2,7,9,6,0.21,4,0,1,0,1,0,Matches
73,Esteban Burgos\Esteban-Burgos,ar ARG,DF,Eibar,27,1992,11.4,3,0.27,3,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
74,Burgui\Burgui,es ESP,MF,Alavés,25,1993,0.2,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
75,Oliver Burke\Oliver-Burke,sco SCO,MFFW,Alavés,22,1997,15.4,14,0.97,11,0,3,0,0,1,0.07,1,0,0,0,0,0,Matches
76,Sergio Busquets\Sergio-Busquets,es ESP,MF,Barcelona,31,1988,26.9,53,1.97,50,1,1,0,1,10,0.37,9,0,1,0,0,0,Matches
77,Unai Bustinza\Unai-Bustinza,es ESP,DF,Leganés,27,1992,28.8,31,1.11,26,3,0,0,2,2,0.07,1,0,0,0,1,0,Matches
78,Erick Cabaco\Erick-Cabaco,uy URU,DF,Levante,24,1995,9.0,6,0.67,4,2,0,0,0,0,0.00,0,0,0,0,0,0,Matches
79,Erick Cabaco\Erick-Cabaco,uy URU,DF,Getafe,24,1995,3.0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
80,Ariday Cabrera\Ariday-Cabrera,es ESP,MFFW,Mallorca,30,1988,0.4,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
81,Leandro Cabrera\Leandro-Cabrera,uy URU,DF,Getafe,28,1991,17.0,6,0.35,2,2,0,1,0,1,0.06,0,0,0,0,0,1,Matches
82,Leandro Cabrera\Leandro-Cabrera,uy URU,DF,Espanyol,28,1991,16.0,11,0.69,8,3,0,0,0,1,0.06,0,1,0,0,0,0,Matches
83,Fernando Calero\Fernando-Calero,es ESP,DF,Espanyol,23,1995,11.6,3,0.26,1,1,0,0,1,0,0.00,0,0,0,0,0,0,Matches
84,Jonathan Calleri\Jonathan-Calleri,ar ARG,FW,Espanyol,25,1993,20.1,39,1.94,22,1,2,7,7,7,0.35,5,0,0,1,1,0,Matches
85,Víctor Camarasa\Victor-Camarasa,es ESP,MF,Alavés,25,1994,13.7,20,1.58,16,2,1,0,1,1,0.08,0,1,0,0,0,0,Matches
86,Sergio Camello\Sergio-Camello,es ESP,FW,Atlético Madrid,18,2001,0.3,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
87,José Campaña\Jose-Campana,es ESP,MF,Levante,26,1993,34.8,126,3.73,87,23,7,4,5,10,0.30,7,2,0,0,1,0,Matches
88,Xisco Campos\Xisco-Campos,es ESP,DFMF,Mallorca,37,1982,4.3,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
89,Víctor Campuzano\Victor-Campuzano,es ESP,FWMF,Espanyol,22,1997,9.5,17,1.80,6,0,2,4,4,1,0.11,0,0,0,0,0,1,Matches
90,Sergio Canales\Sergio-Canales,es ESP,MFFW,Betis,28,1991,34.1,130,3.92,93,28,2,3,4,14,0.42,9,4,0,1,0,0,Matches
91,Ander Capa\Ander-Capa,es ESP,DF,Athletic Club,27,1992,31.1,48,1.55,35,7,5,0,1,6,0.19,6,0,0,0,0,0,Matches
92,Marc Cardona\Marc-Cardona,es ESP,FW,Osasuna,24,1995,7.8,15,1.91,13,0,1,1,0,3,0.38,2,0,0,1,0,0,Matches
93,Diego Carlos\Diego-Carlos,br BRA,DF,Sevilla,26,1993,33.8,14,0.41,11,1,1,1,0,1,0.03,1,0,0,0,0,0,Matches
94,Yannick Carrasco\Yannick-Carrasco,be BEL,MFFW,Atlético Madrid,25,1993,6.6,22,3.81,9,3,3,1,6,6,1.04,1,1,1,0,3,0,Matches
95,Daniel Carriço\Daniel-Carrico,pt POR,DF,Sevilla,30,1988,9.4,3,0.32,3,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
96,Guido Carrillo\Guido-Carrillo,ar ARG,FW,Leganés,28,1991,13.5,29,2.15,21,0,0,5,3,3,0.22,2,0,0,0,1,0,Matches
97,Dani Carvajal\Dani-Carvajal,es ESP,DF,Real Madrid,27,1992,30.4,74,2.43,61,6,4,1,2,6,0.20,4,1,0,0,1,0,Matches
98,William Carvalho\William-Carvalho,pt POR,MF,Betis,27,1992,9.9,13,1.31,12,0,1,0,0,1,0.10,1,0,0,0,0,0,Matches
99,Casemiro\Casemiro,br BRA,MF,Real Madrid,27,1992,33.6,48,1.43,40,0,0,4,4,6,0.18,4,0,0,1,1,0,Matches
100,Santi Cazorla\Santi-Cazorla,es ESP,MF,Villarreal,34,1984,26.3,129,4.90,87,32,3,3,4,16,0.61,12,2,0,1,1,0,Matches
101,Sofian Chakla\Sofian-Chakla,ma MAR,DF,Villarreal,25,1993,2.0,1,0.50,1,0,0,0,0,1,0.50,1,0,0,0,0,0,Matches
102,Charles\Charles,br BRA,FW,Eibar,35,1984,13.8,22,1.63,16,0,1,1,4,1,0.07,1,0,0,0,0,0,Matches
103,Pablo Chavarría\Pablo-Chavarria,ar ARG,FWMF,Mallorca,31,1988,1.7,2,1.19,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
104,Pape Cheikh Diop\Pape-Cheikh-Diop,es ESP,MF,Celta Vigo,21,1997,6.6,11,1.66,7,0,1,0,3,4,0.60,1,0,1,0,2,0,Matches
105,Chema\Chema,es ESP,DF,Getafe,27,1992,3.4,1,0.29,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
106,Denis Cheryshev\Denis-Cheryshev,ru RUS,MFFW,Valencia,28,1990,10.3,18,1.75,15,0,0,0,3,4,0.39,4,0,0,0,0,0,Matches
107,Samuel Chukwueze\Samuel-Chukwueze,ng NGA,MFFW,Villarreal,20,1999,21.8,95,4.36,68,0,13,3,11,14,0.64,7,0,3,1,3,0,Matches
108,Churripi\Churripi,es ESP,GK,Valladolid,25,1994,1.7,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
109,Jasper Cillessen\Jasper-Cillessen,nl NED,GK,Valencia,30,1989,23.3,3,0.13,2,1,0,0,0,1,0.04,1,0,0,0,0,0,Matches
110,Óscar Clemente\Oscar-Clemente,es ESP,MF,Atlético Madrid,20,1999,0.0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
111,Carlos Clerc\Carlos-Clerc,es ESP,DF,Levante,27,1992,20.3,22,1.14,16,5,0,0,1,2,0.10,2,0,0,0,0,0,Matches
112,Coke\Coke,es ESP,DF,Levante,32,1987,10.0,16,1.65,12,1,2,0,1,0,0.00,0,0,0,0,0,0,Matches
113,Álex Collado\Alex-Collado,es ESP,DF,Barcelona,20,1999,0.1,1,15.00,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
114,Francis Coquelin\Francis-Coquelin,fr FRA,MF,Valencia,28,1991,20.3,15,0.74,13,0,0,1,1,2,0.10,0,0,0,1,1,0,Matches
115,Sébastien Corchia\Sebastien-Corchia,fr FRA,DF,Espanyol,28,1990,3.0,11,3.68,6,3,1,0,1,0,0.00,0,0,0,0,0,0,Matches
116,Iñigo Córdoba\Inigo-Cordoba,es ESP,FW,Athletic Club,22,1997,15.5,30,1.93,26,1,2,0,1,6,0.39,6,0,0,0,0,0,Matches
117,Ángel Correa\Angel-Correa,ar ARG,MFFW,Atlético Madrid,24,1995,22.5,59,2.73,47,0,6,3,3,10,0.46,8,0,2,0,0,0,Matches
118,Rober Correa\Rober-Correa,es ESP,DF,Eibar,26,1992,9.3,14,1.50,9,1,1,1,2,0,0.00,0,0,0,0,0,0,Matches
119,Thierry Correia\Thierry-Correia,pt POR,DF,Valencia,20,1999,2.8,3,1.08,1,2,0,0,0,1,0.36,0,1,0,0,0,0,Matches
120,Antonio Cortés\Antonio-Cortes,es ESP,FWMF,Granada,19,2000,1.9,4,2.16,3,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
121,Diego Costa\Diego-Costa,es ESP,FW,Atlético Madrid,30,1988,14.4,25,1.86,18,0,2,3,2,3,0.22,3,0,0,0,0,0,Matches
122,Jaume Costa\Jaume-Costa,es ESP,DF,Valencia,31,1988,15.4,18,1.17,15,1,0,0,2,0,0.00,0,0,0,0,0,0,Matches
123,David Costas\David-Costas,es ESP,DF,Celta Vigo,24,1995,3.8,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
124,Thibaut Courtois\Thibaut-Courtois,be BEL,GK,Real Madrid,27,1992,34.0,1,0.03,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
125,Sebastián Cristóforo\Sebastian-Cristoforo,uy URU,MF,Eibar,25,1993,8.9,14,1.60,9,1,1,1,2,0,0.00,0,0,0,0,0,0,Matches
126,Cucho\Cucho,co COL,FWMF,Mallorca,20,1999,16.5,36,2.31,22,0,8,2,4,5,0.32,2,0,1,1,1,0,Matches
127,Marc Cucurella\Marc-Cucurella,es ESP,MFDF,Getafe,21,1998,35.0,79,2.32,64,5,2,1,7,8,0.24,7,0,0,0,1,0,Matches
128,Iván Cuéllar\Ivan-Cuellar,es ESP,GK,Leganés,35,1984,26.0,2,0.08,1,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
129,Moanes Dabour\Moanes-Dabour,il ISR,FW,Sevilla,27,1992,0.3,1,3.46,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
130,Sergi Darder\Sergi-Darder,es ESP,MFFW,Espanyol,25,1993,29.5,63,2.13,47,8,4,4,0,4,0.14,4,0,0,0,0,0,Matches
131,Ousmane Dembélé\Ousmane-Dembele,fr FRA,FW,Barcelona,22,1997,4.0,18,4.54,10,2,5,0,1,2,0.50,1,0,1,0,0,0,Matches
132,Deyverson\Deyverson,br BRA,FW,Getafe,28,1991,2.3,5,2.21,4,0,0,1,0,2,0.88,1,0,0,1,0,0,Matches
133,Mouctar Diakhaby\Mouctar-Diakhaby,fr FRA,DF,Valencia,22,1996,16.0,6,0.37,5,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
134,Brahim Díaz\Brahim-Diaz,es ESP,FWMF,Real Madrid,19,1999,0.4,2,5.14,1,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
135,Víctor Díaz\Victor-Diaz,es ESP,DF,Granada,31,1988,31.1,44,1.46,32,10,0,1,0,9,0.30,5,2,0,1,0,1,Matches
136,Papakouli Diop\Papakouli-Diop,sn SEN,MF,Eibar,33,1986,24.0,25,1.06,23,0,0,1,1,1,0.04,1,0,0,0,0,0,Matches
