Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,OG,Matches
414,Kasper Schmeichel\Kasper-Schmeichel,dk DEN,GK,Leicester City,32,1986,36.0,4,0.11,1,3,0,0,0,0,0.00,0,0,0,0,0,0,Matches
415,Morgan Schneiderlin\Morgan-Schneiderlin,fr FRA,MF,Everton,29,1989,11.1,17,1.53,15,0,1,1,0,1,0.09,1,0,0,0,0,0,Matches
416,Ryan Sessegnon\Ryan-Sessegnon,eng ENG,DF,Tottenham,19,2000,3.8,4,1.05,4,0,0,0,0,1,0.26,1,0,0,0,0,0,Matches
417,Xherdan Shaqiri\Xherdan-Shaqiri,ch SUI,FW,Liverpool,27,1991,2.1,4,1.95,2,2,0,0,0,0,0.00,0,0,0,0,0,0,Matches
418,Billy Sharp\Billy-Sharp,eng ENG,FW,Sheffield Utd,33,1986,10.6,24,2.27,16,0,2,2,4,2,0.19,1,0,0,1,0,0,Matches
419,Luke Shaw\Luke-Shaw,eng ENG,DF,Manchester Utd,24,1995,19.3,42,2.18,34,4,1,1,2,1,0.05,1,0,0,0,0,0,Matches
420,Jonjo Shelvey\Jonjo-Shelvey,eng ENG,MF,Newcastle Utd,27,1992,21.5,55,2.55,41,10,3,1,0,5,0.23,3,1,1,0,0,0,Matches
421,Djibril Sidibé\Djibril-Sidibe,fr FRA,DF,Everton,27,1992,18.9,34,1.80,29,3,0,0,2,4,0.21,4,0,0,0,0,0,Matches
422,Gylfi Sigurðsson\Gylfi-Sigurdsson,is ISL,MF,Everton,29,1989,26.5,75,2.83,28,30,4,11,2,7,0.26,4,1,1,1,0,0,Matches
423,Bernardo Silva\Bernardo-Silva,pt POR,FWMF,Manchester City,24,1994,21.5,88,4.10,75,2,6,4,1,12,0.56,9,0,2,1,0,0,Matches
424,David Silva\David-Silva,es ESP,MF,Manchester City,33,1986,19.4,100,5.17,83,1,7,4,5,15,0.77,11,1,1,1,1,0,Matches
425,Jack Simpson\Jack-Simpson,eng ENG,DF,Bournemouth,22,1997,2.7,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
