Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,OG,Matches
370,Panagiotis Retsos\Panagiotis-Retsos,gr GRE,DF,Leverkusen,20,1998,1.3,1,0.79,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
371,Marco Reus\Marco-Reus,de GER,MFFW,Dortmund,30,1989,16.6,53,3.19,41,3,2,6,1,8,0.48,8,0,0,0,0,0,Matches
372,Elvis Rexhbeçaj\Elvis-Rexhbecaj,de GER,MF,Köln,21,1997,6.9,19,2.74,13,2,1,3,0,8,1.16,6,1,0,1,0,0,Matches
373,Giovanni Reyna\Giovanni-Reyna,us USA,MFFW,Dortmund,16,2002,3.9,16,4.06,12,0,1,0,3,4,1.01,4,0,0,0,0,0,Matches
374,Chris Richards\Chris-Richards,us USA,DF,Bayern Munich,19,2000,0.1,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
375,Marco Richter\Marco-Richter,de GER,MFFW,Augsburg,21,1997,25.3,55,2.17,35,2,8,5,5,6,0.24,4,0,0,0,2,0,Matches
376,Marcel Risse\Marcel-Risse,de GER,MFFW,Köln,29,1989,1.5,7,4.77,3,4,0,0,0,2,1.36,0,2,0,0,0,0,Matches
377,Marlon Ritter\Marlon-Ritter,de GER,MF,Paderborn 07,24,1994,4.8,17,3.52,11,4,1,1,0,3,0.62,2,0,0,1,0,0,Matches
378,Sebastian Rode\Sebastian-Rode,de GER,MF,Eint Frankfurt,28,1990,21.5,55,2.56,43,5,1,1,5,5,0.23,3,2,0,0,0,0,Matches
379,Jérôme Roussillon\Jerome-Roussillon,fr FRA,DF,Wolfsburg,26,1993,26.3,48,1.83,39,0,7,0,2,5,0.19,4,0,1,0,0,0,Matches
380,Sebastian Rudy\Sebastian-Rudy,de GER,MF,Hoffenheim,29,1990,30.4,88,2.90,62,16,1,3,6,8,0.26,7,1,0,0,0,0,Matches
381,Lukas Rupp\Lukas-Rupp,de GER,MFFW,Hoffenheim,28,1991,3.8,5,1.32,5,0,0,0,0,1,0.26,1,0,0,0,0,0,Matches
382,Julian Ryerson\Julian-Ryerson,no NOR,DF,Union Berlin,21,1997,4.1,2,0.49,1,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
383,Frederik Rønnow\Frederik-Ronnow,dk DEN,GK,Eint Frankfurt,26,1992,9.0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
384,João Victor Santos Sá\Joao-Victor-Santos-Sa,br BRA,MFFW,Wolfsburg,25,1994,18.1,42,2.32,27,1,5,6,3,4,0.22,3,0,1,0,0,0,Matches
385,Abdelhamid Sabiri\Abdelhamid-Sabiri,de GER,MF,Paderborn 07,22,1996,11.6,25,2.15,16,1,3,1,4,3,0.26,2,0,1,0,0,0,Matches
386,Marcel Sabitzer\Marcel-Sabitzer,at AUT,MFFW,RB Leipzig,25,1994,27.8,103,3.71,88,6,2,5,2,12,0.43,10,0,0,1,1,0,Matches
387,Nuri Şahin\Nuri-Sahin,tr TUR,MF,Werder Bremen,30,1988,13.9,44,3.17,23,20,1,0,0,4,0.29,2,2,0,0,0,0,Matches
388,Roland Sallai\Roland-Sallai,hu HUN,MFFW,Freiburg,22,1997,12.9,31,2.40,23,0,3,1,4,2,0.15,1,0,0,0,1,0,Matches
389,Lazar Samardzic\Lazar-Samardzic,de GER,MF,Hertha BSC,17,2002,0.4,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
390,Diadie Samassékou\Diadie-Samassekou,ml MLI,MF,Hoffenheim,23,1996,14.6,15,1.03,15,0,0,0,0,3,0.21,3,0,0,0,0,0,Matches
391,Renato Sanches\Renato-Sanches,pt POR,MF,Bayern Munich,21,1997,0.1,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
392,Jadon Sancho\Jadon-Sancho,eng ENG,FWMF,Dortmund,19,2000,25.4,124,4.88,95,13,9,5,2,32,1.26,25,2,3,2,0,0,Matches
393,Salif Sané\Salif-Sane,sn SEN,DF,Schalke 04,28,1990,12.5,5,0.40,4,0,0,0,1,1,0.08,1,0,0,0,0,0,Matches
