,squad,minutes_90s,passes_completed,through_balls,position,player,passes,passes_pressure
87,Watford,8.7,298,1,MF,Tom Cleverley,374,59
88,Wolves,35.0,1438,3,DF,Conor Coady,1657,201
89,Everton,18.8,747,1,DF,Séamus Coleman,973,162
90,Brighton,13.0,117,1,FW,Aaron Connolly,152,46
91,Bournemouth,14.5,547,5,MF,Lewis Cook,704,129
92,Bournemouth,24.0,950,1,DF,Steve Cook,1158,165
93,Burnley,29.0,743,3,MF,Jack Cork,933,243
94,West Ham,28.5,1179,3,DF,Aaron Cresswell,1588,237
95,Wolves,3.3,38,0,FW,Patrick Cutrone,56,21
96,Manchester Utd,0.7,51,0,DF,Diogo Dalot,64,8
97,Bournemouth,1.4,35,0,DF,Charlie Daniels,49,7
98,Crystal Palace,11.1,345,0,DF,Scott Dann,423,60
99,Southampton,3.1,115,0,DF,Kevin Danso,159,32
100,Tottenham,12.9,626,1,DF,Ben Davies,807,109
101,Everton,20.0,578,6,MF,Tom Davies,739,145
102,Aston Villa,5.3,89,0,FW,Keinan Davis,116,48
103,Watford,23.2,636,0,DF,Craig Dawson,793,133
104,Manchester City,29.0,1560,28,MF,Kevin De Bruyne,2083,347
105,Watford,22.3,344,2,FW,Troy Deeney,614,226
106,Everton,13.2,676,2,MF,Fabian Delph,778,122
107,Wolves,29.0,1010,1,"MF,DF",Leander Dendoncker,1193,181
108,Watford,23.3,603,3,FW,Gerard Deulofeu,823,178
109,Tottenham,13.9,652,0,"DF,MF",Eric Dier,810,137
110,Everton,30.9,1218,3,DF,Lucas Digne,1769,261
111,Liverpool,35.0,2549,8,DF,Virgil van Dijk,2816,301
112,West Ham,27.7,686,0,DF,Issa Diop,853,128
113,Southampton,10.3,191,3,"MF,DF",Moussa Djenepo,264,56
114,Wolves,29.7,1272,1,DF,Matt Doherty,1668,278
115,Watford,32.5,1208,1,MF,Abdoulaye Doucouré,1534,322
116,Manchester City,0.2,19,0,"MF,FW",Thomas Doyle,19,1
117,Aston Villa,2.9,136,0,MF,Danny Drinkwater,167,32
118,Burnley,0.6,11,0,MF,Danny Drinkwater,20,3
119,Norwich City,5.8,104,0,"FW,MF",Josip Drmić,135,42
120,Newcastle Utd,35.0,556,0,GK,Martin Dúbravka,1023,118
121,Norwich City,8.0,298,0,MF,Ondrej Duda,382,72
122,Brighton,13.7,511,0,DF,Shane Duffy,609,98
123,Newcastle Utd,13.6,358,0,DF,Paul Dummett,502,104
124,Brighton,32.9,1789,1,DF,Lewis Dunk,2047,251
125,Manchester City,31.1,851,1,GK,Ederson,969,107
126,Sheffield Utd,32.4,947,0,DF,John Egan,1121,182
127,Liverpool,0.1,12,0,DF,Harvey Elliot,15,0
128,Aston Villa,10.2,431,0,DF,Ahmed Elmohamady,566,93
129,Aston Villa,16.1,503,0,DF,Björn Engels,605,91
